Location,y,x,N,P,K,pH
Khudapura,14.4212044,76.5545525,104,23,106,6.98
Manamainahatti,14.4251505,76.5226052,125,28,125,6.77
Turuvanur,14.4003794,76.4305865,103,13,159,5.98
Ganjigatte,14.2341279,76.1157275,63,9,159,8.14
Gyarahalli,14.2285746,76.1075307,54,10,159,8.16
Muthugaduru,14.2197345,76.1154271,103,20,170,7.54
Saasalu,14.1993182,76.1131633,103,15,169,6.43
Daginakatte,14.2005352,75.781889,103,17,166,7.26
Hunesehalli,14.2148461,75.7170703,74,10,179,8.14
Basavapura,14.2251706,75.7335002,85,21,184,7.27
Holemadapura,14.2192406,75.6751802,79,10,154,7.62
Halivana,14.3233453,75.7592645,95,9,198,5.26
Chikkathammanahalli,14.3079906,75.7423603,113,14,190,6.29
Dibbadahalli,14.3363521,75.7415808,76,9,151,5.83
Anjaneya Swamy Temple,14.4354257,75.7647429,51,9,169,8.3
Haralahalli,14.3326983,75.7777101,55,9,150,8.3
"Veerabhadreshwara,Chikkahalivana",14.3078262,75.7610739,113,13,183,6.52
Kamadod,14.5852959,75.6676503,110,12,183,7.55
"KIADB Area,Ranebennur",14.6048108,75.6487226,71,14,103,6.18
putakanahalu(2),14.5124853,75.9490978,53,6,191,8.18
Waderayanahalli,14.5544506,75.7549652,109,13,181,7.27
Nadiharalalli,14.5638659,75.7904604,98,21,179,7.38
Dheetur,14.5767356,75.821414,69,12,125,7.46
Ragimasalawada,14.6047004,75.8728552,50,9,103,8.62
Sarathi,14.6046101,75.8151054,59,8,160,8.21
Sarathi Anjaneya Temple,14.5978149,75.8224654,110,10,155,7.96
"SJM Nagar,Apache Nagar, Davangere",14.4835751,75.9004318,98,14,113,7.8
Katanaikana Hosahalli,14.4506459,76.0338804,113,13,193,7.01
Siddanur,14.4190278,76.0362912,98,7,144,5.3
Echagatta,14.3523715,76.013224,55,9,103,7.71
Ambaligolla,14.1878403,75.2724231,95,13,160,6.38
A.Annapura,14.2028599,75.2627602,99,21,110,7.45
Mudubasiddapura,14.2259174,75.2512729,94,23,174,7.3
Beguru,14.2829974,75.3651702,115,23,150,7.01
Kathige,14.2452725,75.5105102,69,13,164,7.72
Danalli,14.1625813,75.5923399,74,9,187,8.07
Vaderahathur,14.1141848,75.6312453,94,9,122,7.66
Kunkova,14.0920426,75.5834502,113,17,191,6.36
Chilur,14.1052993,75.6783986,69,17,194,7.95
Dodderi,14.0788334,75.6476497,103,15,144,7.74
Alada Halli,14.0124394,75.5908754,98,23,160,7.75
Mangote,14.0336449,75.7207502,77,11,166,8.13
Aradotlu,13.9448966,75.7207775,126,11,175,7.94
Barandur,13.8309126,75.6220508,65,7,198,8.08
Marikunte,14.5314194,76.1610103,103,10,169,7.78
Kolamaghatta,14.5301947,76.1502151,69,14,154,7.84
Hyarada,14.7982274,75.7600054,54,17,162,7.84
Old Shidenur,14.6296435,75.4466342,104,23,176,7.07
Kadaramandalagi,14.6422724,75.4770153,54,13,124,7.8
Gudalu,14.4274543,76.0955894,65,10,144,7.74
Siddanur,14.4190226,76.0362912,103,11,150,6.85
hutchavvanahalli(2),13.9550016,76.5925171,108,6,169,5.32
anagodu(2),14.3837106,76.0178479,85,10,171,5.14
anagodu(3),14.3788712,14.3788712,103,21,198,7.03
anagodu(4),14.3690394,76.0159167,103,17,165,7.52
anagodu(5),14.3656304,76.0225257,111,17,165,7.27
anagodu(6),14.3782268,76.0573729,85,9,159,5.08
