,Location,y,x,N,P,K,pH,temp,climate
0,Khudapura,14.421204399999999,76.5545525,104,23,106,6.98,32,1
1,Manamainahatti,14.4251505,76.5226052,125,28,125,6.77,6,1
2,Turuvanur,14.4003794,76.4305865,103,13,159,5.98,19,1
3,Ganjigatte,14.2341279,76.1157275,63,9,159,8.14,24,1
4,Gyarahalli,14.228574599999998,76.1075307,54,10,159,8.16,30,1
5,Muthugaduru,14.2197345,76.11542709999999,103,20,170,7.54,37,1
6,Saasalu,14.1993182,76.1131633,103,15,169,6.43,13,1
7,Daginakatte,14.2005352,75.781889,103,17,166,7.26,14,1
8,Hunesehalli,14.2148461,75.7170703,74,10,179,8.14,13,1
9,Basavapura,14.2251706,75.7335002,85,21,184,7.27,30,1
10,Holemadapura,14.2192406,75.6751802,79,10,154,7.62,22,1
11,Halivana,14.323345300000002,75.7592645,95,9,198,5.26,31,1
12,Chikkathammanahalli,14.307990599999998,75.7423603,113,14,190,6.29,22,1
13,Dibbadahalli,14.336352100000001,75.7415808,76,9,151,5.83,19,1
14,Anjaneya Swamy Temple,14.435425699999998,75.7647429,51,9,169,8.3,22,1
15,Haralahalli,14.3326983,75.7777101,55,9,150,8.3,21,1
16,"Veerabhadreshwara,Chikkahalivana",14.3078262,75.7610739,113,13,183,6.52,37,1
17,Kamadod,14.5852959,75.6676503,110,12,183,7.55,39,1
18,"KIADB Area,Ranebennur",14.604810800000001,75.64872259999999,71,14,103,6.18,28,1
19,putakanahalu(2),14.5124853,75.9490978,53,6,191,8.18,8,1
20,Waderayanahalli,14.5544506,75.7549652,109,13,181,7.27,16,1
21,Nadiharalalli,14.563865900000001,75.7904604,98,21,179,7.38,33,1
22,Dheetur,14.5767356,75.821414,69,12,125,7.46,9,1
23,Ragimasalawada,14.604700400000002,75.8728552,50,9,103,8.62,24,1
24,Sarathi,14.6046101,75.81510540000001,59,8,160,8.21,28,1
25,Sarathi Anjaneya Temple,14.597814900000001,75.82246540000001,110,10,155,7.96,6,1
26,"SJM Nagar,Apache Nagar, Davangere",14.4835751,75.90043179999999,98,14,113,7.8,23,1
27,Katanaikana Hosahalli,14.4506459,76.0338804,113,13,193,7.01,25,1
28,Siddanur,14.419027800000002,76.03629120000001,98,7,144,5.3,9,1
29,Echagatta,14.3523715,76.013224,55,9,103,7.71,9,1
30,Ambaligolla,14.187840300000001,75.2724231,95,13,160,6.38,24,1
31,A.Annapura,14.202859900000002,75.2627602,99,21,110,7.45,4,1
32,Mudubasiddapura,14.2259174,75.2512729,94,23,174,7.3,10,1
33,Beguru,14.282997400000001,75.36517020000001,115,23,150,7.01,25,1
34,Kathige,14.2452725,75.51051020000001,69,13,164,7.72,21,1
35,Danalli,14.1625813,75.59233990000001,74,9,187,8.07,38,1
36,Vaderahathur,14.1141848,75.6312453,94,9,122,7.66,22,1
37,Kunkova,14.092042600000001,75.5834502,113,17,191,6.36,1,1
38,Chilur,14.105299300000002,75.6783986,69,17,194,7.95,13,1
39,Dodderi,14.0788334,75.6476497,103,15,144,7.74,2,1
40,Alada Halli,14.0124394,75.5908754,98,23,160,7.75,29,1
41,Mangote,14.033644899999999,75.7207502,77,11,166,8.13,20,1
42,Aradotlu,13.944896599999998,75.7207775,126,11,175,7.94,21,1
43,Barandur,13.8309126,75.6220508,65,7,198,8.08,33,1
44,Marikunte,14.531419400000003,76.1610103,103,10,169,7.78,22,1
45,Kolamaghatta,14.5301947,76.1502151,69,14,154,7.84,5,1
46,Hyarada,14.7982274,75.7600054,54,17,162,7.84,15,1
47,Old Shidenur,14.6296435,75.4466342,104,23,176,7.07,27,1
48,Kadaramandalagi,14.642272400000001,75.47701529999999,54,13,124,7.8,19,1
49,Gudalu,14.4274543,76.09558940000001,65,10,144,7.74,25,1
50,Siddanur,14.4190226,76.03629120000001,103,11,150,6.85,37,1
51,hutchavvanahalli(2),13.955001600000001,76.5925171,108,6,169,5.32,8,1
52,anagodu(2),14.3837106,76.0178479,85,10,171,5.14,31,1
53,anagodu(3),14.3788712,14.3788712,103,21,198,7.03,7,1
54,anagodu(4),14.3690394,76.0159167,103,17,165,7.52,2,1
55,anagodu(5),14.3656304,76.0225257,111,17,165,7.27,19,1
56,anagodu(6),14.378226800000002,76.0573729,85,9,159,5.08,23,1
57,kolenahalli(2),14.328187,75.8580743,85,7,144,8.24,6,1
58,rampura(3),14.875974900000001,76.77340500000001,71,10,149,7.74,13,1
59,naraganahalli(2),15.4076973,76.5640593,60,13,194,7.67,22,1
60,Chikka Jantakal,15.417587099999999,76.577282,79,13,195,7.33,5,1
61,Achalapur,15.4255899,76.5614302,99,10,126,7.9,33,1
62,hanumanahalli(2),15.3523818,76.46420909999999,99,10,136,5.82,34,1
63,Danalli,14.1625813,75.59233990000001,126,18,105,6.14,24,1
64,Kankanahlli Thanda,14.137553599999999,75.60984140000001,108,7,195,5.65,5,1
65,Kunkuva,14.1144975,75.61966899999999,98,7,154,5.65,8,1
66,Palavanahalli,14.088424400000001,75.5695554,74,9,198,7.66,26,1
67,BEERANAKERE MATTA,14.0481283,75.5500718,118,25,164,7.72,22,1
68,Suguru,13.9969298,75.65034509999998,98,7,179,5.73,33,1
69,Javalli,13.9626547,75.6485724,125,24,199,7.23,25,1
70,Taranaga Halli,13.969412300000002,75.665685,69,10,155,7.67,28,1
71,Aradotlu,13.944896599999998,75.7207775,92,7,110,8.04,0,1
72,ramagondanahalli(2),14.0876036,75.9551808,99,14,162,7.6,9,1
73,ramagondanahalli(3),14.087266099999999,75.9550718,107,13,173,7.74,1,1
74,ramagondanahalli(4),14.0931902,75.9547245,115,21,199,7.29,9,1
75,ramagondanahalli(5),14.1081111,75.9469447,75,13,191,7.61,14,1
76,ramagondanahalli(7),14.102309900000002,75.9528765,98,18,154,7.13,30,1
77,ramagondanahalli(8),14.0974143,75.9488979,66,18,130,7.95,7,1
78,ramagondanahalli(9),14.094080499999999,75.95218179999999,103,18,160,7.51,19,1
79,ramagondanahalli(10),14.094063,75.95684159999999,107,13,163,7.64,9,1
80,ramagondanahalli(11),14.091857899999999,75.95458620000001,121,23,199,7.3,20,1
81,ramagondanahalli(12),14.0900116,75.95436959999999,109,19,103,6.8,16,1
82,ramagondanahalli(13),14.0883188,75.9547455,113,18,198,6.26,24,1
83,thumbigere(2),14.4481575,76.03417519999999,115,33,103,7.46,18,1
84,gummanur(2),14.414118099999998,76.1093116,94,7,169,7.87,21,1
85,bethuru(2),14.4876407,75.9434324,69,10,164,7.88,32,1
86,bethuru(3),14.487557,75.9434733,87,21,176,6.95,28,1
87,bethuru(4),14.486476699999999,75.9428524,103,25,194,7.32,38,1
88,bethuru(5),14.486071599999999,75.94385150000001,66,9,168,7.91,24,1
89,bethuru(6),14.485856,75.9446066,94,25,194,6.57,18,1
90,bethuru(7),14.4857041,75.94453680000001,113,17,175,6.72,28,1
91,bethuru(8),14.4856781,75.94437590000001,91,9,191,7.65,29,1
92,bethuru(9),14.4861417,75.94492170000001,64,16,124,7.63,7,1
93,kenchammanahalli(2),14.4095818,76.0861856,74,9,169,5.92,11,1
94,kenchammanahalli(3),14.4090986,76.0863868,74,10,180,7.8,31,1
95,mudenahalli(2),14.408740099999997,76.0864377,98,18,171,7.18,28,1
96,kabburu(2),14.297074400000001,76.0092253,69,9,180,7.71,9,1
97,kabburu(3),14.292208800000001,76.0106845,84,9,154,5.4,29,1
98,kabburu(4),14.288403500000001,76.01474,84,9,169,5.4,31,1
99,kabburu(5),14.286729600000001,76.012208,66,15,195,7.8,15,1
100,doddabathi(2),14.4681285,75.85454759999999,98,10,154,6.33,4,1
101,kereyagalahalli(2),14.445692800000002,76.0789865,64,17,194,7.57,37,1
102,hulikatte(2),14.460119899999999,76.0989904,95,7,103,8.02,0,1
103,ganganakatte(2),14.3550247,76.0639312,95,10,190,6.34,16,1
104,honnur(2),14.4193512,75.995316,98,21,177,7.38,26,1
105,honnur(3),14.418949900000001,75.9954139,84,17,135,6.72,37,1
106,honnur(4),14.418441399999999,75.99636140000001,98,10,138,6.45,35,1
107,honnur(5),14.416931900000002,75.995471,89,54,138,7.4,18,1
108,chikkavvanagathihalli(2),14.393035199999998,75.94445809999999,64,8,180,6.06,4,1
109,anaberu(2),14.265584,76.0273955,105,17,118,7.32,2,1
110,maravanji,13.9291,75.9838,96,16,103,,9,1
111,anaberu(3),14.265452100000001,76.0274062,71,9,172,8.24,31,1
112,alur(2),14.183578400000002,75.9170177,99,15,125,7.34,10,1
113,alur(3),14.184574300000001,75.9182227,85,14,103,7.82,26,1
114,mavinahole,13.9569,75.9376,119,7,198,,22,1
115,kadlebalu(2),14.5394878,75.9076229,60,9,165,8.12,3,1
116,avaragere(2),14.4409292,75.9472329,100,15,166,7.42,10,1
117,avaragere(3),14.4547122,75.9391167,71,9,146,8.12,14,1
118,avaragere(4),14.4536677,75.9416858,113,17,108,6.68,22,1
119,avaragere(5),14.4481275,75.9413042,64,15,179,7.86,1,1
120,avaragere(6),14.444932999999999,75.94267020000001,64,13,104,7.74,4,1
121,dindadahalli(2),14.4214187,75.92424240000001,103,21,197,6.72,22,1
122,neerthadi(2),14.3526342,76.1471114,51,9,155,8.01,25,1
123,attigere(2),14.322465900000001,75.9934373,103,17,103,7.34,19,1
124,chikkasandi,13.8779,75.9434,79,6,181,,11,1
125,attigere(3),14.321495,75.9932045,107,19,194,7.44,24,1
126,attigere(4),14.3216655,75.99430509999999,103,41,194,6.49,14,1
127,belavanur(2),14.3983297,75.92021159999999,108,23,184,6.8,18,1
128,Bilchodu,14.4916421,76.15957879999999,65,15,185,8.06,15,1
129,Talavatti,14.103280700000001,76.5579808,99,17,179,6.88,10,1
130,honnebagi,13.9922,75.9608,104,19,161,,0,1
131,Talavatti(2),14.102484699999998,76.5599066,61,11,198,7.86,15,1
132,halebathi(2),14.4766711,75.85951419999999,103,17,191,7.36,30,1
133,halebathi(3),14.476070199999999,75.8591699,125,19,138,7.09,4,1
134,halebathi(4),14.4757899,75.8599172,115,19,192,6.67,4,1
135,Kod,14.514799700000001,75.4440594,59,10,183,7.68,18,1
136,goppenahalli,13.9606,76.0138,74,7,184,,16,1
137,Kod(2),14.514319400000002,75.4447326,63,16,165,7.81,3,1
138,Sokke,14.6832392,76.25198370000001,109,18,103,7.63,21,1
139,Bullapura(2),14.386691199999998,75.5805478,106,21,179,6.93,2,1
140,Bullapura(3),14.385535399999998,75.5922088,99,19,195,7.24,23,1
141,Bullapura(4),14.4065193,75.5889261,74,14,180,7.5,3,1
142,Bullapura(5),14.405520000000001,75.59783259999999,119,17,184,6.72,0,1
143,Bullapura(6),14.407856599999999,75.5992891,99,25,184,6.63,10,1
144,Bullapura camp (2),14.3819228,75.5796337,68,17,103,7.68,22,1
145,Bullapura camp (3),14.409113699999999,75.5811476,113,9,146,5.98,34,1
146,kaidale(2),14.331524300000002,75.9002245,69,15,160,7.73,21,1
147,devarahatti(2),14.5112293,75.9121035,65,10,175,5.89,24,1
148,devarahatti(3),14.5129103,75.9126145,74,17,194,7.66,32,1
149,devarahatti(4),14.5127758,75.9131798,68,13,133,6.43,29,1
150,kakkaragolla(2),14.5244122,75.871346,121,35,194,7.58,35,1
151,giriyavvanahalli(2),14.4650286,75.98670600000001,99,10,295,7.64,19,1
152,agasanakatte(2),4.4343148,76.0276134,59,8,91,7.99,8,1
153,shiraganahalli(2),13.783047199999999,76.05117790000001,80,9,39,7.36,22,1
154,kadajji(3),14.5045043,75.9807325,95,17,171,6.7,6,1
155,kadajji(4),14.507018400000002,75.9784329,54,10,149,8.0,0,1
156,nalkunda(2),14.250977800000001,76.05089040000001,110,9,118,8.3,19,1
157,medikeri pura(2),14.6140745,76.0734318,96,23,150,7.63,18,1
158,siriganahalli(2),14.4232171,75.859832,103,13,194,7.79,9,1
159,shinganahalli(2),14.0162324,75.3672154,79,10,104,8.08,13,1
160,shinganahalli(3),14.014998,75.36984040000002,71,13,155,7.95,5,1
161,shinganahalli(4),14.0112968,75.379706,56,10,169,7.81,3,1
162,maganahalli(2),14.472002400000001,75.9199365,76,10,171,7.67,38,1
163,bisaleri(2),14.3963385,75.88011949999999,91,15,161,7.65,36,1
164,bisaleri(3),14.398963,75.8804171,79,14,144,7.7,39,1
165,kukkavada(2),14.3318718,75.882638,91,16,195,7.65,34,1
166,ganganakatte(2),14.355692499999998,76.06317209999999,103,22,164,7.8,17,1
167,ganganakatte(3),14.3552119,76.0654373,94,9,198,7.76,8,1
168,gonivada(2),14.303468599999999,75.90201970000001,66,15,149,7.85,13,1
169,gonivada(3),14.303045000000001,75.9026702,59,17,160,7.73,35,1
170,gonivada(4),14.3041008,75.9030949,126,57,195,8.13,22,1
171,gonivada(5),14.304032000000001,75.903543,95,17,181,7.54,18,1
172,gonivada(6),14.3036793,75.90383709999999,53,13,95,7.97,20,1
173,kodaganur(2),14.3326579,76.0373652,115,17,104,6.88,27,1
174,bethuru(2),14.486913699999999,75.9424025,126,79,160,7.31,7,1
175,bethuru(3),14.489668700000001,75.94174559999999,94,25,174,7.53,34,1
176,bethuru(4),14.4894108,75.9440358,113,25,194,7.14,6,1
177,bethuru(5),14.4882913,75.94489229999999,113,17,198,7.57,15,1
178,bethuru(6),14.486747199999998,75.94103270000001,124,23,184,7.33,16,1
179,bethuru(8),14.4892971,75.9430725,69,11,174,7.98,18,1
180,bethuru(9),14.488753299999999,75.94454040000001,91,19,169,6.53,10,1
181,bethuru(10),14.488597199999997,75.9449908,59,8,125,7.76,28,1
182,bethuru(11),14.4877274,75.9444182,59,10,171,8.1,30,1
183,hadadi(2),14.3622791,75.8876395,113,19,118,7.49,0,1
184,hadadi(3),14.3651296,75.88883790000001,51,9,99,8.1,31,1
185,kashipura(2),14.3111479,75.9682686,65,9,119,4.72,18,1
186,kashipura(3),14.311602800000003,75.96976219999999,121,25,81,7.18,26,1
187,Bommenahalli(2),14.1029122,76.0047699,54,7,113,8.87,14,1
188,DAVANGERE(2),14.468229500000001,75.87899399999999,65,58,126,8.15,28,1
189,DAVANGERE(3),14.460243900000002,75.9258697,95,7,194,1.55,24,1
190,DAVANGERE(4),14.466015400000002,75.93412629999999,71,63,165,7.66,22,1
191,DAVANGERE(5),14.458751199999998,75.9275233,85,21,139,7.54,25,1
192,pamenahalli(2),14.410006599999999,75.93775600000001,113,25,175,7.34,23,1
193,gandhinagar(2),14.477219199999999,76.10192679999999,76,10,103,7.96,13,1
194,gandhinagar(3),14.476626999999999,76.102274,60,10,154,8.05,25,1
195,gandhinagar(4),14.4773128,76.10211190000001,55,13,58,8.14,22,1
196,anaberu(2),14.265515599999999,76.0279072,109,19,108,6.79,33,1
197,anaberu(3),14.2624848,76.0305595,100,18,198,6.27,7,1
198,dyamenahalli(2),14.287833800000001,75.9915007,108,17,169,6.83,7,1
199,syagale(2),14.276811499999999,75.930861,84,16,200,7.76,37,1
200,syagale(3),14.276804199999999,75.9319043,129,23,200,7.36,19,2
201,hebbalu(2),14.381933499999999,76.0926497,113,22,200,6.61,15,2
202,chattobanahalli(2),14.401817499999998,75.98049470000001,76,11,113,7.72,33,2
203,chattobanahalli(4),14.402054000000001,75.981526,103,10,169,6.67,19,2
204,chattobanahalli(5),14.4018614,75.98108520000001,66,9,176,8.2,31,2
205,putakanahalu(2),14.511475199999998,75.9494384,113,23,149,7.04,23,2
206,malalkere(2),14.2840487,14.2840487,95,15,191,7.44,27,2
207,malalkere(3),14.2846981,75.97563170000001,118,19,199,6.7,25,2
208,gopanalu(2),14.3301119,75.9621723,118,15,195,6.78,7,2
209,hedne(2),14.271119500000001,76.0913066,84,10,198,7.99,9,2
210,hedne(3),14.272090300000002,76.11229540000001,91,17,194,6.36,3,2
211,hadadi(3),14.366099800000002,75.88955290000001,51,9,194,8.12,38,2
212,basavanahalu(2),14.475900199999998,75.9789025,98,17,160,7.51,1,2
213,vaderhalli(2),14.553773300000001,75.856525,103,13,194,7.55,3,2
214,hiretogaleri(2),14.355804999999998,75.9786988,55,8,198,7.75,19,2
215,kundawada(2),14.464424300000001,75.893474,113,17,149,7.32,5,2
216,shamanuru(2),14.4364897,75.8930913,51,10,199,7.83,20,2
217,shamanuru(3),14.436183900000001,75.8939283,64,13,171,7.66,0,2
218,kariganur(2),14.303464199999999,75.8499989,65,25,194,7.62,26,2
219,kariganur(3),14.3068142,75.8533801,84,10,195,7.77,23,2
220,kariganur(4),14.310461800000002,75.85034190000002,94,8,155,6.28,33,2
221,kariganur(5),14.309592000000002,75.8469632,108,23,185,7.44,18,2
222,kariganur(6),14.3113946,75.85132779999999,75,25,198,7.03,19,2
223,kariganur(8),14.307770300000001,75.8516472,109,16,185,7.27,35,2
224,kariganur(9),14.3035758,75.852634,113,13,169,6.44,5,2
225,dodderikatte(2),14.122618300000003,76.0028654,94,8,169,8.14,23,2
226,dodderikatte(3),14.124337200000001,76.0027997,75,9,185,7.99,38,2
227,dodderikatte(4),14.1244696,76.0040328,75,13,194,7.7,0,2
228,somanahalu(2),14.169379800000002,75.9775502,124,8,143,5.61,2,2
229,yekkegondi(2),14.217932099999999,76.0283617,101,36,165,7.5,36,2
230,astapanahalli(2),14.083314199999998,75.8578384,73,11,154,7.96,33,2
231,astapanahalli(3),14.083309,75.8592412,97,75,144,7.5,37,2
232,santhebennur(2),14.1679513,75.99605799999999,113,21,155,7.01,2,2
233,santhebennur(3),14.166151699999999,76.0023236,75,9,108,7.78,23,2
234,santhebennur(4),14.1714777,75.99877240000001,84,9,125,5.89,20,2
235,santhebennur(5),14.1755676,76.0044644,70,10,190,7.32,14,2
236,B-Durga(1),14.183306699999997,76.1312915,65,9,180,5.31,27,2
237,B-Durga (2),14.183641399999999,76.13106009999998,95,9,185,5.19,22,2
238,B-Durga (3),14.183863800000001,76.1332696,115,14,186,7.32,34,2
239,B-Durga (4),14.183046300000003,76.1332195,99,17,154,6.85,11,2
240,thyavanige(2),14.2503557,75.8832013,69,11,145,8.9,39,2
241,thyavanige(3),14.246212,75.8836931,69,8,193,5.4,11,2
242,avalaghatta(2),14.1644967,75.9487628,99,9,157,5.93,22,2
243,lakshmi sagar(2),14.0086196,75.9220545,85,8,175,4.77,8,2
244,lakshmi sagar(3),14.0089917,75.9240335,79,7,159,4.75,14,2
245,koratagere(2),14.0713128,76.0386233,103,17,103,7.05,20,2
246,koratagere(3),14.070488000000001,76.0389194,123,10,125,7.42,34,2
247,n.ganadakatte(2),14.111939999999999,75.8347556,95,17,150,7.23,14,2
248,n.ganadakatte(3),14.1095677,75.8444759,84,23,106,6.99,6,2
249,kariganur(2),14.309089199999999,75.8495392,61,8,133,8.14,33,2
250,kariganur(4),14.301431599999999,75.8516984,103,21,118,7.35,36,2
251,kempanahalli(2),14.2364476,75.9225022,74,9,149,8.13,27,2
252,kempanahalli(3),14.2237323,75.9219429,125,21,164,7.42,18,2
253,kempanahalli(4),14.2273314,75.9289372,121,19,169,7.42,4,2
254,harosagar(2),14.218569699999998,75.81073070000001,95,9,185,5.51,3,2
255,harosagar(3),14.2168935,75.811607,95,9,194,5.51,15,2
256,doddabbigere(2),14.166721599999999,76.04115920000001,73,7,160,4.93,21,2
257,doddabbigere(3),14.167025899999999,76.0450645,71,10,199,7.86,9,2
258,doddabbigere(4),14.167216,76.04414270000001,103,20,153,6.93,24,2
259,kamsagar(2),14.1902135,75.83361670000001,102,17,144,7.58,36,2
260,thyavanige(2),14.2501313,75.8849628,54,8,154,8.03,27,2
261,yalodahalli(2),14.214535999999999,75.75978409999999,113,11,39,7.23,37,2
262,yalodahalli(3),14.2148232,75.77481920000001,79,7,47,6.86,19,2
263,nichavvanahalli(3),14.702513399999999,76.0419622,74,9,48,8.12,26,2
264,ragimasalawada(2),14.592712300000002,75.88660240000002,107,15,74,7.72,15,2
265,ragimasalawada(3),14.603808800000001,75.91313559999999,71,10,40,6.23,11,2
266,ragimasalawada(4),14.5954905,75.90395649999999,66,10,103,7.6,31,2
267,ramaghatta(2),14.537858600000002,76.08540490000001,69,12,162,7.59,0,2
268,arasanahal(2),14.534854399999999,76.1059387,64,9,144,8.07,16,2
269,uchangidurga(2),14.5559413,76.04168759999999,64,9,139,8.04,39,2
270,uchangidurga(3),14.5592954,76.0555064,64,9,191,8.04,22,2
271,punabagatta(2),14.6047275,76.02029209999999,103,29,103,7.25,30,2
272,ragimasalawada(5),14.597431599999998,75.8995685,65,10,165,8.12,35,2
273,anajigeri(3),14.599040700000002,76.0808658,65,7,175,7.85,18,2
274,muttigi(2),14.757026699999999,76.05700279999999,83,20,154,7.84,32,2
275,chatnihalli(2),14.5251112,76.0199313,71,17,154,7.7,37,2
276,chatnihalli(3),14.5190458,76.0364537,108,23,170,6.65,39,2
277,chatnihalli(4),14.5194046,76.07728459999998,102,49,139,7.53,14,2
278,chatnihalli(5),14.5295712,76.0730997,74,11,195,7.86,27,2
279,kanchikeri(2),14.6144664,75.97460079999999,60,10,171,7.99,29,2
280,kanchikeri(3),14.615669199999997,75.9783281,69,9,199,8.12,35,2
281,kanchikeri(4),14.617394099999999,75.97930490000002,69,9,161,8.12,21,2
282,nagarakatte(2),14.4821408,75.9711671,60,14,155,7.65,39,2
283,sathur(3),14.547072199999999,75.9840322,91,13,179,6.29,28,2
284,sathur(4),14.5376082,75.9655465,98,14,154,6.18,27,2
