state,crop,profit
Andhra Pradesh,Rice,63851.83909564643
Andhra Pradesh,Jowar,10974.069178111
Andhra Pradesh,Bajra,7414.478167142301
Andhra Pradesh,Maize,31369.836277210437
Andhra Pradesh,Ragi,5636.3760976878
Andhra Pradesh,Wheat,1.0
Andhra Pradesh,Barley,-1
Andhra Pradesh,Gram,5058.972381754003
Andhra Pradesh,Tur,1.0
Andhra Pradesh,Groundnut,10177.468974925003
Andhra Pradesh,Mustard,1.0
Andhra Pradesh,Soyabean,7632.152855004762
Andhra Pradesh,Sunflower,9739.718467635998
Andhra Pradesh,Cotton,1.0
Andhra Pradesh,Jute,-1
Andhra Pradesh,Mesta,1609.9308729210024
Andhra Pradesh,Sugarcane,893130.4966730588
Arunachal Pradesh ,Rice,999.5865639660005
Arunachal Pradesh ,Jowar,-1
Arunachal Pradesh ,Bajra,-1
Arunachal Pradesh ,Maize,4482.932344170502
Arunachal Pradesh ,Ragi,-1
Arunachal Pradesh ,Wheat,2388.5555511497478
Arunachal Pradesh ,Barley,-1
Arunachal Pradesh ,Gram,-1
Arunachal Pradesh ,Tur,3390.0
Arunachal Pradesh ,Groundnut,-1
Arunachal Pradesh ,Mustard,7963.315162592498
Arunachal Pradesh ,Soyabean,3841.3619765416115
Arunachal Pradesh ,Sunflower,-1
Arunachal Pradesh ,Cotton,-1
Arunachal Pradesh ,Jute,-1
Arunachal Pradesh ,Mesta,-1
Arunachal Pradesh ,Sugarcane,204345.6734693876
Assam,Rice,25101.500000000007
Assam,Jowar,-1
Assam,Bajra,-1
Assam,Maize,1.0
Assam,Ragi,-1
Assam,Wheat,1.0
Assam,Barley,-1
Assam,Gram,1.0
Assam,Tur,1.0
Assam,Groundnut,-1
Assam,Mustard,4885.0
Assam,Soyabean,-1
Assam,Sunflower,-1
Assam,Cotton,1.0
Assam,Jute,34954.0
Assam,Mesta,1.0
Assam,Sugarcane,430802.0
Bihar,Rice,3193.0197755100016
Bihar,Jowar,8725.2510760408
Bihar,Bajra,7863.8214883442
Bihar,Maize,18223.121581651998
Bihar,Ragi,333.1931378870995
Bihar,Wheat,5272.15376641605
Bihar,Barley,1.0
Bihar,Gram,1231.946383248407
Bihar,Tur,7053.887398410003
Bihar,Groundnut,1.0
Bihar,Mustard,5664.649190696498
Bihar,Soyabean,-1
Bihar,Sunflower,1.0
Bihar,Cotton,-1
Bihar,Jute,1.0
Bihar,Mesta,1.0
Bihar,Sugarcane,493081.236862286
Chattisgarh,Rice,730.0
Chattisgarh,Jowar,7174.0
Chattisgarh,Bajra,-1
Chattisgarh,Maize,2804.0
Chattisgarh,Ragi,1.0
Chattisgarh,Wheat,1.0
Chattisgarh,Barley,1.0
Chattisgarh,Gram,1.0
Chattisgarh,Tur,1.0
Chattisgarh,Groundnut,27478.1
Chattisgarh,Mustard,1.0
Chattisgarh,Soyabean,1.0
Chattisgarh,Sunflower,1.0
Chattisgarh,Cotton,1.0
Chattisgarh,Jute,-1
Chattisgarh,Mesta,1.0
Chattisgarh,Sugarcane,6062.0
Goa,Rice,30230.0
Goa,Jowar,-1
Goa,Bajra,-1
Goa,Maize,-1
Goa,Ragi,3000.0
Goa,Wheat,-1
Goa,Barley,-1
Goa,Gram,-1
Goa,Tur,-1
Goa,Groundnut,16019.25
Goa,Mustard,-1
Goa,Soyabean,-1
Goa,Sunflower,-1
Goa,Cotton,-1
Goa,Jute,-1
Goa,Mesta,-1
Goa,Sugarcane,601406.0
Gujarat,Rice,9390.0
Gujarat,Jowar,8218.0
Gujarat,Bajra,11584.0
Gujarat,Maize,1402.125
Gujarat,Ragi,1284.0
Gujarat,Wheat,23280.67708333333
Gujarat,Barley,-1
Gujarat,Gram,1.0
Gujarat,Tur,1.0
Gujarat,Groundnut,17013.440000000002
Gujarat,Mustard,31845.489999999998
Gujarat,Soyabean,3202.845714285715
Gujarat,Sunflower,-1
Gujarat,Cotton,1.0
Gujarat,Jute,-1
Gujarat,Mesta,-1
Gujarat,Sugarcane,864062.0
Haryana,Rice,35070.0
Haryana,Jowar,1.0
Haryana,Bajra,14321.0
Haryana,Maize,17420.0
Haryana,Ragi,-1
Haryana,Wheat,31028.75
Haryana,Barley,16170.500000000004
Haryana,Gram,1.0
Haryana,Tur,3150.0
Haryana,Groundnut,1.0
Haryana,Mustard,15124.0
Haryana,Soyabean,-1
Haryana,Sunflower,2970.0
Haryana,Cotton,1.0
Haryana,Jute,-1
Haryana,Mesta,-1
Haryana,Sugarcane,695306.0
Himachal Pradesh,Rice,6130.0
Himachal Pradesh,Jowar,-1
Himachal Pradesh,Bajra,-1
Himachal Pradesh,Maize,17765.0
Himachal Pradesh,Ragi,4352.0
Himachal Pradesh,Wheat,440.5
Himachal Pradesh,Barley,432.10000000000036
Himachal Pradesh,Gram,518.010000000002
Himachal Pradesh,Tur,-1
Himachal Pradesh,Groundnut,-1
Himachal Pradesh,Mustard,1.0
Himachal Pradesh,Soyabean,5491.079999999998
Himachal Pradesh,Sunflower,-1
Himachal Pradesh,Cotton,-1
Himachal Pradesh,Jute,-1
Himachal Pradesh,Mesta,-1
Himachal Pradesh,Sugarcane,191618.0
Jammu & Kashmir,Rice,16390.0
Jammu & Kashmir,Jowar,2602.0
Jammu & Kashmir,Bajra,1707.0
Jammu & Kashmir,Maize,7025.0
Jammu & Kashmir,Ragi,-1
Jammu & Kashmir,Wheat,1187.75
Jammu & Kashmir,Barley,1.0
Jammu & Kashmir,Gram,-1
Jammu & Kashmir,Tur,-1
Jammu & Kashmir,Groundnut,-1
Jammu & Kashmir,Mustard,1075.0
Jammu & Kashmir,Soyabean,-1
Jammu & Kashmir,Sunflower,-1
Jammu & Kashmir,Cotton,-1
Jammu & Kashmir,Jute,-1
Jammu & Kashmir,Mesta,-1
Jammu & Kashmir,Sugarcane,-1
Jharkhand,Rice,16960.0625
Jharkhand,Jowar,9784.0
Jharkhand,Bajra,13301.0
Jharkhand,Maize,5616.075000000001
Jharkhand,Ragi,1.0
Jharkhand,Wheat,16430.6
Jharkhand,Barley,1.0
Jharkhand,Gram,232.86000000000058
Jharkhand,Tur,590.0
Jharkhand,Groundnut,1.0
Jharkhand,Mustard,23173.0
Jharkhand,Soyabean,-1
Jharkhand,Sunflower,-1
Jharkhand,Cotton,-1
Jharkhand,Jute,-1
